gene_id	gene_name	X1O	X2O	X3O	P11_1	P11_2	P11_3
ENSG00000003096	KLHL13	11540	8714	10565	11262	10582.002	11753.001
ENSG00000003137	CYP26B1	4	10	3	12	5	7
ENSG00000003147	ICA1	17226.999	15809	15286.999	19204.002	19208.001	20258.999
ENSG00000003249	DBNDD1	5993.999	5256.001	4845	6155	6224	7078
ENSG00000003393	ALS2	3093.998	2421.999	2391.003	3514.003	3225.999	3546.167
ENSG00000003400	CASP10	2	2	3	4	3	1
ENSG00000003402	CFLAR	1285.643	1053.207	975.862	1326.016	1369.827	1406.687
ENSG00000003436	TFPI	2	2	0	0	0	0
ENSG00000003509	NDUFAF7	1316.001	1251.001	1353	1486.999	1440	1484
ENSG00000003756	RBM5	6469.17	6073.875	5204.182	7552.695	7859.511	7505.21
ENSG00000003987	MTMR7	609	559.003	518	661	685.999	712.001
ENSG00000003989	SLC7A2	518	380	352	464	494	573
ENSG00000004059	ARF5	13080.658	12199.818	19654.815	14392.975	15014.89	15706.869
ENSG00000004139	SARM1	10228.514	8711.87	6834.63	10321.971	10519.314	11505.667
ENSG00000004142	POLDIP2	8543	7439	9836	9193	9442	10130
ENSG00000004399	PLXND1	1250	1138.001	808	1294.003	1349.002	1573.936
ENSG00000004455	AK2	9504.632	8478.918	11333.851	10116.954	10132.801	10652.471
ENSG00000004468	CD38	75	66	42	86	74	79
ENSG00000004478	FKBP4	26170.985	22459.377	26690.987	27295.946	28414.98	30477.965
ENSG00000004487	KDM1A	27620.998	23259	24153	29126	28476.999	31365.001
ENSG00000004534	RBM6	12074.832	11783.124	8508.821	14351.306	14335.489	15127.791
ENSG00000004660	CAMKK1	670.087	649	610.999	771	778.999	801
ENSG00000004700	RECQL	2585	2045.999	2229	2780	2353.999	2700
ENSG00000004766	VPS50	1634	1259.001	1243	1776	1492	1669
ENSG00000004776	HSPB6	37	29	18	18	31	25
ENSG00000004777	ARHGAP33	3901	3975	2141.999	4548.029	4967	4736.998
ENSG00000004779	NDUFAB1	4162.999	3408	5898	3915	3944.999	4054.999
ENSG00000004799	PDK4	29	16	19	33	25	32
ENSG00000004809	SLC22A16	2	1	1	4	1	4
ENSG00000004838	ZMYND10	136	195.001	150.001	193	199	194.999
ENSG00000004846	ABCB5	1	2	0	0	2	0
ENSG00000004848	ARX	0	2	5	2	1	1
ENSG00000004864	SLC25A13	8488.001	7015.999	6849.001	8714.001	8367	9192.001
ENSG00000004866	ST7	2500	2097.725	2156.15	2525	2567.999	2642.532
ENSG00000004897	CDC27	5952.997	4459.996	4425.995	6098.996	5337.995	5884.998
ENSG00000004939	SLC4A1	4	0	1	3	3	2
ENSG00000004948	CALCR	6	3	2	7	2	8
ENSG00000004961	HCCS	1455	1265	1721	1598	1681	1758.999
ENSG00000004975	DVL2	6088	5569.001	5317.001	6825.002	6799.999	7860.153
ENSG00000005001	PRSS22	2	2	3	5	1	5
ENSG00000005007	UPF1	10761.999	9262.001	6853.999	11485	11696.999	13271
ENSG00000005020	SKAP2	112	67	99	94	98	106.01
ENSG00000005022	SLC25A5	16364.515	13519.391	20069.646	16547.995	16760.998	17685.99
ENSG00000005059	MCUB	910	778	1058.999	844.001	862	845
ENSG00000005073	HOXA11	0	0	0	0	0	1
ENSG00000005075	POLR2J	5081.233	4814.261	7010.281	5917.135	6199.938	6347.987
ENSG00000005100	DHX33	5341.001	4484	3789	5849.001	5715	6310.001
ENSG00000005102	MEOX1	0.997	0	0	0	0	0
ENSG00000005108	THSD7A	7543	5895	4946	7939	7342	8935.001
ENSG00000005156	LIG3	6386	5130.999	4452.967	6627	6319.177	6941.999
ENSG00000005175	RPAP3	1707.999	1336.001	1581	1834	1546	1714.001
ENSG00000005187	ACSM3	10	6	1	6	3	4
ENSG00000005189	REXO5	1402.999	1296.001	1588	1589.001	1661	1698.999
ENSG00000005194	CIAPIN1	6130.631	5292.848	9317.162	6407.312	6721.222	6867.131
ENSG00000005206	SPPL2B	2862.433	3118.009	1720.681	3549.035	3789.631	3623.305
ENSG00000005238	ATOSB	1153	979	890	1207	1255.001	1287
ENSG00000005243	COPZ2	138	163	190	171	167	200
ENSG00000005249	PRKAR2B	4486	3613	4117	4480	4230.001	4794.001
ENSG00000005302	MSL3	2050	1856.858	2289.996	2163.987	2200	2258
ENSG00000005339	CREBBP	12417.002	9824	6742	12301	12123	14647.501
ENSG00000005379	TSPOAP1	1376.001	1274.998	902.999	1592.998	1758.999	1677
ENSG00000005381	MPO	0	0	0	0.998	0	1
ENSG00000005421	PON1	0	0	0	0	0	0
ENSG00000005436	GCFC2	1119.998	937.999	1013	1132	1080	1168.999
ENSG00000005448	WDR54	3614	3331.001	5598.998	3788.001	4211.999	4203
ENSG00000005469	CROT	540	481	582.001	660	690.001	636.001
ENSG00000005471	ABCB4	764.878	548.668	560.385	763.989	742.66	862.289
ENSG00000005483	KMT2E	8244.999	6796.999	4690.001	8182.003	7460	8775.002
ENSG00000005486	RHBDD2	6851	5616.999	6206.999	6621.999	6706.001	7595
ENSG00000005513	SOX8	0	1	4	3	1.876	0
ENSG00000005700	IBTK	2118	1694	1469.001	2305.999	2120	2399.999
ENSG00000005801	ZNF195	4415.017	4078.998	4053.998	5240.61	4865.233	4713
ENSG00000005810	MYCBP2	5883.001	4415.002	3116	6172.001	5448.999	6473.001
ENSG00000005812	FBXL3	1031	727.999	903	1032.999	923	1019
ENSG00000005844	ITGAL	0	1	0	3	5	2
ENSG00000005882	PDK2	2720.001	2278	2547	2727	2743.001	3083.999
ENSG00000005884	ITGA3	1099	846.001	672	1051	1002	1175
ENSG00000005889	ZFX	3106.999	2399	2214.999	2891.999	2665	3091
ENSG00000005893	LAMP2	1487	1116	1409.001	1436	1338	1426
ENSG00000005961	ITGA2B	204	188	179	232.999	270	235.999
ENSG00000005981	ASB4	0	0	1	3	2	0
ENSG00000006007	GDE1	3582.001	2930	3525	3623	3535	3859
ENSG00000006015	REX1BD	2496.999	2543	3497.001	3003	3099	3098
ENSG00000006016	CRLF1	0	2	2	1	6	1
ENSG00000006025	OSBPL7	1317	1487.999	846.001	1590.001	1733	1777
ENSG00000006042	TMEM98	7357.981	6296.984	9026.939	8037.978	7647.977	8501.994
ENSG00000006047	YBX2	1151	1127	858.003	1267.999	1300.999	1235.006
ENSG00000006059	KRT33A	0	0	0	0	0	0
ENSG00000006062	MAP3K14	530.999	517	414	613	649.001	604
ENSG00000006071	ABCC8	91	123	65	117.014	96.998	121.999
ENSG00000006116	CACNG3	0	0	0	0	0	0
ENSG00000006118	TMEM132A	14577.995	14450	11314.998	16589.999	17540	18206.225
ENSG00000006125	AP2B1	31458.721	24183.601	21880.285	30294.544	29007.627	33285.733
ENSG00000006128	TAC1	0	0	0	0	1	0
ENSG00000006194	ZNF263	3271.371	2573.485	2957.783	3206.67	3344.487	3463.385
ENSG00000006210	CX3CL1	1649.001	1307.001	1239	1724	1617.001	1857
ENSG00000006282	SPATA20	2969.002	2853	2422.951	3277.958	3293.902	3291.979
ENSG00000006283	CACNA1G	1633	1236	952.998	1591	1658	1782.001
ENSG00000006327	TNFRSF12A	174	145	254	199.999	215	238
ENSG00000006377	DLX6	1405	1187	1130.827	1414	1318.037	1568
ENSG00000006432	MAP3K9	2510	2065	1473	2823.286	2732	3022
ENSG00000006451	RALA	6822.796	5442.955	6456.709	7297.822	6720.763	7594.795
ENSG00000006453	BAIAP2L1	1484	1315.848	1220	1651	1656	1776
ENSG00000006459	KDM7A	2575	2106	1611	2560	2536	2757
ENSG00000006468	ETV1	1354.001	1141	1193.001	1433.999	1398	1563.999
ENSG00000006530	AGK	3231.997	2673	2906	3399	3220.813	3417.001
ENSG00000006534	ALDH3B1	13	11.945	19	14	22	13
ENSG00000006555	TTC22	0	1	1	0	0	2
ENSG00000006576	PHTF2	2711.999	2090.001	2321	2871.002	2656	2885.001
ENSG00000006606	CCL26	0	0	0	0	0	0
ENSG00000006607	FARP2	4002.999	3266	2578.999	4293	4081.031	4458.002
ENSG00000006611	USH1C	0	1	1	0	1	0
ENSG00000006625	GGCT	5620.496	4584.238	6205.025	5642.943	5067.581	5030.197
ENSG00000006634	DBF4	3034.585	2496.514	3008.834	3278.112	2675.902	2886.219
ENSG00000006638	TBXA2R	189	165	155	208	181	224.001
ENSG00000006652	IFRD1	3277.359	2719.997	3038.522	3288.175	3018.146	3212.886
ENSG00000006659	LGALS14	0	0	0	0	0	0
ENSG00000006695	COX10	1385.963	1226.44	1208.445	1400.299	1375.683	1514.118
ENSG00000006704	GTF2IRD1	6088.103	5643.999	5409.001	6974.999	7351.354	8296.119
ENSG00000006712	PAF1	5536.001	5241	5975	6137	6207.001	7098.999
ENSG00000006715	VPS41	6034.001	4858	5258	6424.999	5908.999	6521.981
ENSG00000006740	ARHGAP44	18	16	21	41	25	33.005
ENSG00000006744	ELAC2	6589	5512	5296	6746.001	6876.002	7692
ENSG00000006747	SCIN	1.074	2	0	2	0	0
ENSG00000006756	ARSD	1915.999	1463	1232	1915.996	1849	2151
ENSG00000006757	PNPLA4	492	359	707	461	485	493.012
ENSG00000006788	MYH13	0	0	0	0	0	2.006
ENSG00000006831	ADIPOR2	5779.999	4763	4738	6208	5917.999	6686
ENSG00000006837	CDKL3	136.077	115.56	147.872	138.431	131.705	144.548
ENSG00000007001	UPP2	6	2	4	5	6	2
ENSG00000007038	PRSS21	0	1	1	0	0	1
ENSG00000007047	MARK4	5067	4414.001	3638	5150	5211.001	5926.999
ENSG00000007062	PROM1	17	10	10	7	7	13
ENSG00000007080	CCDC124	7537.999	7107.001	9083	8381.001	9165.999	9332
ENSG00000007129	CEACAM21	0	0	0	0	0	0
ENSG00000007168	PAFAH1B1	12850.999	10495.997	9048.998	13540.177	13167.995	14808.002
ENSG00000007171	NOS2	266	219	215	248.001	262	299
ENSG00000007174	DNAH9	77.999	58	64	68	62	86
ENSG00000007202	BLTP2	18914.001	15686.001	13217.998	20125	19830	21918.998
ENSG00000007216	SLC13A2	0	0	1	0	0	0
ENSG00000007237	GAS7	549.999	450	392	553	624.001	662
ENSG00000007255	TRAPPC6A	682.999	634	1102	690.999	810.999	817
ENSG00000007264	MATK	6	6	6	6	4	5
ENSG00000007306	CEACAM7	1	0	0	0	0	0
ENSG00000007312	CD79B	1	1	4	3	1	0
ENSG00000007314	SCN4A	1	2	0	0	0	0
ENSG00000007341	ST7L	886	747.001	843.999	973	890	888.001
ENSG00000007350	TKTL1	2	2	8	9	11	7
ENSG00000007372	PAX6	1	1	1	2	3	5
ENSG00000007376	RPUSD1	2791.998	2568.999	2958.001	2916.999	3118.999	3340.999
ENSG00000007384	RHBDF1	96	86	59.999	95	103	97
ENSG00000007392	LUC7L	5696.001	5954.001	5643	7469.999	7367.001	7382.999
ENSG00000007402	CACNA2D2	11368.999	9930.338	7174	11650	11828	13355.998
ENSG00000007516	BAIAP3	48.001	60	22	54	55	72
ENSG00000007520	TSR3	4321	3949.999	4650	4613	4995	5537
ENSG00000007541	PIGQ	4498.948	4328.864	3489.303	4847.297	5041.035	5339.454
ENSG00000007545	CRAMP1	3850.248	3230.289	2225.238	3900.296	4015.975	4496.866
ENSG00000007866	TEAD3	685	551	525	676	767	854
ENSG00000007908	SELE	0	0	0	0	0	0
ENSG00000007923	DNAJC11	8211.998	7134.999	6019.999	8763.001	9425.001	9889
ENSG00000007933	FMO3	0	1	0	0	0	0
ENSG00000007944	MYLIP	216	188	195	265	236	260
ENSG00000007952	NOX1	0	0	1	1	0	0
ENSG00000007968	E2F2	6647	5533	4881	6793	6957	7793
ENSG00000008018	PSMB1	8818	7353	10459	9639	8512	9232
ENSG00000008056	SYN1	2692.217	2278.819	1904.238	2636.676	2775.466	3138.839
ENSG00000008083	JARID2	3855	3197	2584	3981	3963	4464
ENSG00000008086	CDKL5	1882	1479	1069.999	1981.002	1784	2018
ENSG00000008118	CAMK1G	2	3	3	8	5	2
ENSG00000008128	CDK11A	2470.525	3034.515	2075.651	3440.068	3520.166	3473.34
ENSG00000008130	NADK	5387	4835.001	4709.999	5919.999	5936.999	6350
ENSG00000008196	TFAP2B	39109	32977	25315	39639	39091.999	44068
ENSG00000008197	TFAP2D	13	15	9	13	26	23
ENSG00000008226	DLEC1	0	1	0	3	6	1
ENSG00000008256	CYTH3	3044	2596.001	2322	3550	3251.999	3734
ENSG00000008277	ADAM22	11663.002	9012	7465.001	11920.004	11457	12938.999
ENSG00000008282	SYPL1	739	587.001	618	791	693.001	801.001
ENSG00000008283	CYB561	28536.34	24221	21679	28236.001	28970.002	30619.999
ENSG00000008294	SPAG9	17771.998	14321.001	12583	18415.001	17630.001	19965
ENSG00000008300	CELSR3	17881.001	15252	9324.999	19039.876	18948	21719.999
ENSG00000008311	AASS	80	65	58	93	80	96
ENSG00000008323	PLEKHG6	18	12	17	19	19	20
ENSG00000008324	SS18L2	715	691	965	886.001	803	726
ENSG00000008382	MPND	1769	1610.999	1750.001	2092.999	2055.999	2348.002
ENSG00000008394	MGST1	57	22	54	46	45	47
ENSG00000008405	CRY1	1280	1108.001	1235	1358	1228	1445.999
ENSG00000008438	PGLYRP1	0	0	1	0	0	0
ENSG00000008441	NFIX	6731	5470.001	3930	5929.999	6517	7611.002
ENSG00000008513	ST3GAL1	376.001	292	206	394.001	391	452
ENSG00000008516	MMP25	0	5	1	1	3	6
ENSG00000008517	IL32	0	0	1	1	0	0
ENSG00000008710	PKD1	17391.52	17321.299	8630.388	19685.268	20383.399	21246.353
ENSG00000008735	MAPK8IP2	14201	12161	9423.902	14007	14778	16629
ENSG00000008838	MED24	9542.001	7932.002	6709.998	9521	9741	10681.998
ENSG00000008853	RHOBTB2	4640.998	3690.999	3204	4643.999	4918	5539
ENSG00000008869	HEATR5B	4304	3145.001	2748	4139	3806	4310.001
ENSG00000008952	SEC62	4510.999	4042.999	3974	4880.999	4640	5177
ENSG00000008988	RPS20	51259.562	46540.856	66979.899	53025.159	54852.322	57469.98
ENSG00000009307	CSDE1	43295.992	35054.983	33341.989	43776.993	41344.979	45992.981
ENSG00000009335	UBE3C	7623	6218	5899	7859	7504.001	8334.001
ENSG00000009413	REV3L	2951	2248	1713.999	3098	2667	3175
ENSG00000009694	TENM1	20	18	11	17	25	31
ENSG00000009709	PAX7	31	30	22	45	32	49
ENSG00000009724	MASP2	5	5	3	11	5	8
ENSG00000009765	IYD	2	2	1	0	1	0
ENSG00000009780	FAM76A	622	514.001	715.983	675.999	640.016	696.965
ENSG00000009790	TRAF3IP3	1	2	2	2	3	0
ENSG00000009830	POMT2	4296.001	3742.003	3073.998	4741.999	4458	4953
ENSG00000009844	VTA1	3137	2503.001	3252	3356	3076	3259.999
ENSG00000009950	MLXIPL	34	55	21	45	42	39
ENSG00000009954	BAZ1B	32566.066	26946	21538	34718	33085.026	38692
ENSG00000010017	RANBP9	3959	3265	2825	3810	3754	4323.199
ENSG00000010030	ETV7	1	0	1	8	3	4.001
ENSG00000010072	SPRTN	1041.001	924	1275	1224	1161	1277
ENSG00000010165	METTL13	8716	7548	8805	9517	9510.999	10601
ENSG00000010219	DYRK4	442.999	452.999	607.001	547	578	569.999
ENSG00000010244	ZNF207	13181.198	10696	14036	13441.025	12901	13286
ENSG00000010256	UQCRC1	10615	9287.999	13724	10891.002	11537	12108
ENSG00000010270	STARD3NL	4712	3996	6555	4665.999	4660	4673
ENSG00000010278	CD9	505	447.999	628.999	561.999	590.999	636
ENSG00000010282	HHATL	1	0	0	0	0	3
ENSG00000010292	NCAPD2	25486.98	20988.998	18441	26940.998	26468.997	29596.997
ENSG00000010295	IFFO1	1447.001	1459.001	1126	1644.999	1830	1790.132
ENSG00000010310	GIPR	59	74.999	61	54	73	68.001
ENSG00000010318	PHF7	361.001	315	315	406.001	366.999	428
ENSG00000010319	SEMA3G	17	11	15	24	14	25
ENSG00000010322	NISCH	7943	7571	5043.999	8965.999	9681	10007.002
ENSG00000010327	STAB1	3	3	1	4	4	4
ENSG00000010361	FUZ	4555.999	4147.856	4866.002	4780	4976	5470.999
ENSG00000010379	SLC6A13	0	2	0	6	4	8
ENSG00000010404	IDS	15055.104	11769.271	9990.022	14025.139	13974.029	15963.936
ENSG00000010438	PRSS3	2241	1966	3123	2026	2318	2299
ENSG00000010539	ZNF200	1190	1015.001	1227	1263	1220	1302.001
ENSG00000010610	CD4	2.002	6	6	5	11	4
ENSG00000010626	LRRC23	772.054	752.094	1033.272	870.277	937.617	922.061
ENSG00000010671	BTK	0	2	6	1	1	3
ENSG00000010704	HFE	2	1	1	2	4	1
ENSG00000010803	SCMH1	4440.999	3829	3159.999	4459	4589	5146.002
ENSG00000010810	FYN	7381.997	6220	5852.001	7541.998	7498.999	8589.999
ENSG00000010818	HIVEP2	1120	972	756.001	1260.999	1140.999	1391
ENSG00000010932	FMO1	0	0	0	0	0	0
ENSG00000011007	ELOA	7263	6295	5951	7830	7947	8695.999
ENSG00000011009	LYPLA2	10617.84	9471.905	10425.977	10703.865	11437.462	12062.554
ENSG00000011021	CLCN6	3130.999	2561.999	2045	3446.999	3259.001	3605
ENSG00000011028	MRC2	8969	7942.001	5755	9369.001	9805	11032.974
ENSG00000011052	NME1-NME2	379.783	312.806	489.784	391.833	372.46	292.302
ENSG00000011083	SLC6A7	0	1	0	0	2	0
ENSG00000011105	TSPAN9	2789	2339.001	2262.999	2927	3053	3213.001
ENSG00000011114	BTBD7	3797.865	2874.001	2438.001	3811	3720.992	4211
ENSG00000011132	APBA3	1175.359	1047	1171	1386.001	1449.704	1470.819
ENSG00000011143	MKS1	1779	1581	1590.717	2012	1965	2163
ENSG00000011198	ABHD5	1009	772	884.001	1055.997	997.001	1116.999
ENSG00000011201	ANOS1	13	10	6	14	10	18
ENSG00000011243	AKAP8L	3813.001	3801.027	2903	4582.999	4782.001	4865.999
ENSG00000011258	MBTD1	4576.001	3411.008	2984	4601	4063	4843
ENSG00000011260	UTP18	4553.995	4142	4832.999	4937.992	4758.999	5285.25
ENSG00000011275	RNF216	7583.444	6425.198	5752.464	7983.272	8088.772	8891.116
ENSG00000011295	TTC19	2819.598	2086.008	2195.067	2673.006	2300.14	2695.018
ENSG00000011304	PTBP1	40244.998	33159.999	29324.998	41377	40979	46883
ENSG00000011332	DPF1	2439	2224.999	2122	2644	2636.998	2962
ENSG00000011347	SYT7	2287.999	1982	1462	2351.999	2600	2659
ENSG00000011376	LARS2	3734.002	3114	2932	4028.001	3836	4496.999
ENSG00000011405	PIK3C2A	3438	2520	2108	3489	3242.999	3349
ENSG00000011422	PLAUR	1415	1313	1150.002	1572.001	1754	1760.999
ENSG00000011426	ANLN	7113.001	5823.001	5171.001	7479.999	6909.999	7434
ENSG00000011451	WIZ	11768	9806.001	7176.999	11506.034	11780.001	13801.232
ENSG00000011454	RABGAP1	4386	3741	3583.002	4773.001	4346	4966.001
ENSG00000011465	DCN	9	8	13	10	10	16
ENSG00000011478	QPCTL	494.999	471	622.999	620.999	598	672
ENSG00000011485	PPP5C	9757.999	8935.079	10567.001	10852.002	11159.961	12250.999
ENSG00000011523	CEP68	4193.998	3509.991	3058.002	4473.998	4455	4910.002
ENSG00000011566	MAP4K3	1838.999	1521	1641	2073	1835.999	2011
ENSG00000011590	ZBTB32	2	1	0	1	0	1
ENSG00000011600	TYROBP	0	0	0	0	1	0
ENSG00000011638	LDAF1	250	187	229	272	289.999	265
ENSG00000011677	GABRA3	457	332	308	392	397	472
ENSG00000012048	BRCA1	7254.001	5627	4849.001	7545.001	7025.001	7950.002
ENSG00000012061	ERCC1	6275	5725.999	6834.999	6824	7086	7654.999
ENSG00000012124	CD22	0	0	0	2	0	0
ENSG00000012171	SEMA3B	232	260	151	315.999	339	326
ENSG00000012174	MBTPS2	3469	2620.667	2531	3549.605	3072	3578.403
ENSG00000012211	PRICKLE3	14	8	6	13	14	9
ENSG00000012223	LTF	0	0	0	0	1	0
ENSG00000012232	EXTL3	8741.001	7099	5717.999	8974	8559.999	10166
ENSG00000012504	NR1H4	0	0	0	1	0	1
ENSG00000012660	ELOVL5	7501	6168.001	5740	7790.999	7265	8343
ENSG00000012779	ALOX5	0	3	3	0	1	3
ENSG00000012817	KDM5D	0	2	2	4	1	0
ENSG00000012822	CALCOCO1	3186.999	3204	2742.001	3793	4036.999	3983.001
ENSG00000012963	UBR7	7475.342	5916.567	6357.723	7628.335	7401.39	8413.875
ENSG00000012983	MAP4K5	2895.999	2440	2019.001	3228	2780.999	3158
ENSG00000013016	EHD3	2374	2053	1876	2428.296	2461	2882.337
ENSG00000013275	PSMC4	13536.001	11521.001	13453	13795.999	15031.001	16214.001
ENSG00000013288	MAN2B2	1387.001	1261	958	1562	1493	1745.923
ENSG00000013293	SLC7A14	2431.997	1881	1655	2537	2405	2772
ENSG00000013297	CLDN11	19	13	14.813	13.471	23	13.452
ENSG00000013306	SLC25A39	11447	10027.002	11328.002	12177.002	12833	13098.999
ENSG00000013364	MVP	102	94	96	105.654	136	129
ENSG00000013374	NUB1	6306.999	5427	5787	6690.001	6480	7071.998
ENSG00000013375	PGM3	2999	2521	2484.001	3128.001	3114.001	3228.001
ENSG00000013392	RWDD2A	407	372	485	446	433	447
ENSG00000013441	CLK1	1858.001	1679	2000.001	2246	1997.001	1908.001
ENSG00000013503	POLR3B	1354	1110	926	1347	1201	1380
ENSG00000013523	ANGEL1	2401	1999.001	1672.001	2519	2561	2648
ENSG00000013561	RNF14	2035.999	1496.001	2090	2016	1755.999	2034.996
ENSG00000013563	DNASE1L1	933.001	901.001	782	1045	1016	1061.999
ENSG00000013573	DDX11	5356.296	5932.731	3553.929	7011.386	7387.358	6852.066
ENSG00000013583	HEBP1	536	500	624	587	617.001	598.001
ENSG00000013588	GPRC5A	19	21	4	12	22	18
ENSG00000013619	MAMLD1	127	127.999	73	120	121	152
ENSG00000013725	CD6	26	27	14	30	33	31
ENSG00000013810	TACC3	17179	16090	14172.999	19604	20552.002	21355.998
ENSG00000014123	UFL1	780	587	619	856	737	756
ENSG00000014138	POLA2	5429.134	4820.766	5780.579	6241.068	6346.144	6545.78
ENSG00000014164	ZC3H3	2064	1711	1398	1974	1985	2341
ENSG00000014216	CAPN1	7049	6174.999	5943.001	7270	7473.998	8613.001
ENSG00000014257	ACP3	2	3	0	2	1	2
ENSG00000014641	MDH1	7846	6664.001	10205.999	7910.001	7958.999	7949
ENSG00000014824	SLC30A9	6657	5755.999	6127	7043.001	6530	7033
ENSG00000014914	MTMR11	81.001	95	61	139	130.001	113.999
ENSG00000014919	COX15	4436.634	3737.313	4172.224	4536.108	4545.314	4906.358
ENSG00000015133	CCDC88C	2217	1894.999	1380.052	2365.003	2520.437	2732.516
ENSG00000015153	YAF2	850.999	727.999	1163.001	822	990	873
ENSG00000015171	ZMYND11	4630.217	4007.999	3146.999	4876.998	4885	5470.001
ENSG00000015285	WAS	84	97.001	63	97	115.999	89
ENSG00000015413	DPEP1	1	3	0	1	3	1
ENSG00000015475	BID	4161.001	3720	4979	4572	4563.001	5090
ENSG00000015479	MATR3	31131.019	26147.441	24629.653	33214.455	31401.561	36196.094
ENSG00000015520	NPC1L1	2	2	2	0	4	5
ENSG00000015532	XYLT2	1803	1769	1448	1978.001	2057	2242
ENSG00000015568	RGPD5	58.903	21.117	35.285	66.723	49.761	96.933
ENSG00000015592	STMN4	3365	3166	4175	3895	4193.001	4617.999
ENSG00000015676	NUDCD3	15843.001	13104.001	14432.999	16412.001	16268.999	18149.001
ENSG00000016082	ISL1	13371	11775	13364.999	14019	13634.999	14572
ENSG00000016391	CHDH	462	393	375	461	466	558
ENSG00000016402	IL20RA	2078.999	1826.999	2396	2189	2280	2367
ENSG00000016490	CLCA1	0	0	0	0	0	1
ENSG00000016602	CLCA4	0	0	0	0	0	0
ENSG00000016864	GLT8D1	3599.002	2921	3439	3634	3377.998	3604.001
ENSG00000017260	ATP2C1	6847.999	5592.999	5400	7104.998	6280.999	7328
ENSG00000017427	IGF1	0	0	0	0	0	0
ENSG00000017483	SLC38A5	25	12	28	25	44	33
ENSG00000017797	RALBP1	7094.897	5848	5204.943	7411.853	6977.936	8061.958
ENSG00000018189	RUFY3	6592	5774.998	5257.997	7189.994	7060	7445.998
ENSG00000018236	CNTN1	15177.999	11939.999	12044	16117	15227	17549
ENSG00000018280	SLC11A1	4	14	24.003	4	5	8
ENSG00000018408	WWTR1	35	38	31	36	34	29
ENSG00000018510	AGPS	4463	3627.002	3489.999	4585.001	4316.001	4793.999
ENSG00000018607	ZNF285CP	0	7.02	1.342	4.39	1.092	5.595
ENSG00000018610	STEEP1	1970.178	1721.868	1955.389	2205.306	2305.298	2269.079
ENSG00000018625	ATP1A2	0	1	2	0	2	1.785
ENSG00000018699	TTC27	1739	1352	1586	1772.999	1559	1808.001
ENSG00000018869	ZNF582	246	224.001	277.693	285	236	282
ENSG00000019102	VSIG2	0	1	1	1	2	0
ENSG00000019144	PHLDB1	5527.001	5199.002	4173.999	6218.999	6279.998	6849.002
ENSG00000019169	MARCO	0	0	0	0	0	0
ENSG00000019186	CYP24A1	0	0	0	1	0	0
ENSG00000019485	PRDM11	1770	1368	1006	1736	1797.198	1980
ENSG00000019505	SYT13	408	361	362	407	469	498
ENSG00000019549	SNAI2	518	449	471	488	474	532
ENSG00000019582	CD74	15	14	10	15	21	15
ENSG00000019991	HGF	79	82.001	85	99.999	72	106.001
ENSG00000019995	ZRANB1	3519.077	2773.936	2551.277	3429.35	3323.585	3681.072
